,name,latitude,longitude,num_bikes
0,GEORGES LANE,53.35023,-6.279696,2
1,NORTH CIRCULAR ROAD (O'CONNELL'S),53.357841,-6.251557,8
2,PHIBSBOROUGH ROAD,53.356307,-6.273717,6
3,SMITHFIELD NORTH,53.349562,-6.278198,12
4,CLONMEL STREET,53.336021,-6.26298,14
5,AVONDALE ROAD,53.359405,-6.276142,7
6,MOUNT STREET LOWER,53.33796,-6.24153,13
7,CHRISTCHURCH PLACE,53.343368,-6.27012,8
8,GRANTHAM STREET,53.334123,-6.265436,15
9,PEARSE STREET,53.344304,-6.250427,13
10,YORK STREET EAST,53.338755,-6.262003,10
11,EXCISE WALK,53.347777,-6.244239,10
12,FITZWILLIAM SQUARE WEST,53.336074,-6.252825,7
13,PORTOBELLO ROAD,53.330091,-6.268044,8
14,PARNELL STREET,53.350929,-6.265125,9
15,FREDERICK STREET SOUTH,53.341515,-6.256853,16
16,CUSTOM HOUSE,53.348279,-6.254662,12
17,RATHDOWN ROAD,53.35893,-6.280337,8
18,HANOVER QUAY,53.344115,-6.237153,14
19,OLIVER BOND STREET,53.343893,-6.280531,4
20,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,3
21,BROOKFIELD ROAD,53.339005,-6.300217,14
22,BENSON STREET,53.344153,-6.233451,22
23,EARLSFORT TERRACE,53.334295,-6.258503,9
24,GOLDEN LANE,53.340803,-6.267732,3
25,DEVERELL PLACE,53.351464,-6.255265,13
26,WILTON TERRACE (PARK),53.333653,-6.248345,28
27,JOHN STREET WEST,53.343105,-6.277167,0
28,FENIAN STREET,53.341428,-6.24672,17
29,MERRION SQUARE SOUTH,53.338614,-6.248606,16
30,SOUTH DOCK ROAD,53.341833,-6.231291,3
31,CITY QUAY,53.346637,-6.246154,13
32,EXCHEQUER STREET,53.343034,-6.263578,15
33,THE POINT,53.346867,-6.230852,15
34,BROADSTONE,53.3547,-6.272314,2
35,HATCH STREET,53.33403,-6.260714,10
36,LIME STREET,53.346026,-6.243576,1
37,CHARLEMONT PLACE,53.330662,-6.260177,4
38,KILMAINHAM GAOL,53.342113,-6.310015,13
39,HARDWICKE PLACE,53.357043,-6.263232,1
40,WOLFE TONE STREET,53.348875,-6.267459,12
41,GREEK STREET,53.346874,-6.272976,19
42,GUILD STREET,53.347932,-6.240928,20
43,HERBERT PLACE,53.334432,-6.245575,10
44,HIGH STREET,53.343565,-6.275071,8
45,NORTH CIRCULAR ROAD,53.359624,-6.260348,11
46,WESTERN WAY,53.354929,-6.269425,3
47,TALBOT STREET,53.350974,-6.25294,7
48,NEWMAN HOUSE,53.337132,-6.26059,15
49,SIR PATRICK DUN'S,53.339218,-6.240642,37
50,NEW CENTRAL BANK,53.347122,-6.234749,8
51,GRANGEGORMAN LOWER (CENTRAL),53.355173,-6.278424,8
52,KING STREET NORTH,53.350291,-6.273507,6
53,KILLARNEY STREET,53.354845,-6.247579,1
54,HERBERT STREET,53.335742,-6.24551,8
55,HANOVER QUAY EAST,53.343653,-6.231755,1
56,CUSTOM HOUSE QUAY,53.347884,-6.248048,10
57,MOLESWORTH STREET,53.341288,-6.258117,16
58,GEORGES QUAY,53.347508,-6.252192,5
59,KILMAINHAM LANE,53.341805,-6.305085,0
60,MOUNT BROWN,53.341645,-6.29719,2
61,MARKET STREET SOUTH,53.342296,-6.287661,24
62,KEVIN STREET,53.337757,-6.267699,2
63,ECCLES STREET EAST,53.358115,-6.265601,5
64,GRAND CANAL DOCK,53.342638,-6.238695,30
65,MERRION SQUARE EAST,53.339434,-6.246548,22
66,YORK STREET WEST,53.339334,-6.264699,19
67,ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,4
68,DENMARK STREET GREAT,53.35561,-6.261397,7
69,ROYAL HOSPITAL,53.343897,-6.29706,17
70,HEUSTON STATION (CAR PARK),53.346985,-6.297804,36
71,GRANGEGORMAN LOWER (NORTH),53.355954,-6.278378,0
72,ST. STEPHEN'S GREEN EAST,53.337824,-6.256035,25
73,HEUSTON STATION (CENTRAL),53.346603,-6.296924,19
74,TOWNSEND STREET,53.345922,-6.254614,11
75,ECCLES STREET,53.359246,-6.269779,0
76,PORTOBELLO HARBOUR,53.330362,-6.265163,15
77,MATER HOSPITAL,53.359967,-6.264828,8
78,BLESSINGTON STREET,53.356769,-6.26814,2
79,JAMES STREET,53.343456,-6.287409,12
80,MOUNTJOY SQUARE EAST,53.356717,-6.256359,3
81,MERRION SQUARE WEST,53.339764,-6.251988,8
82,CONVENTION CENTRE,53.34744,-6.238523,38
83,HARDWICKE STREET,53.355473,-6.264423,0
84,PARKGATE STREET,53.347972,-6.291804,9
85,DAME STREET,53.344007,-6.266802,5
86,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,0
87,CATHAL BRUGHA STREET,53.352149,-6.260533,7
88,SANDWITH STREET,53.345203,-6.247163,23
89,BUCKINGHAM STREET LOWER,53.353331,-6.249319,22
90,ROTHE ABBEY,53.338776,-6.30395,24
91,CHARLEVILLE ROAD,53.359157,-6.281866,15
92,PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,5
93,UPPER SHERRARD STREET,53.358437,-6.260641,0
94,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,14
95,GRATTAN STREET,53.339629,-6.243778,4
96,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,10
97,HARCOURT TERRACE,53.332763,-6.257942,7
98,BOLTON STREET,53.351182,-6.269859,6
99,JERVIS STREET,53.3483,-6.266651,3
100,ORMOND QUAY UPPER,53.346057,-6.268001,6
101,GRANGEGORMAN LOWER (SOUTH),53.354663,-6.278681,6
102,MOUNTJOY SQUARE WEST,53.356299,-6.258586,7
103,WILTON TERRACE,53.332383,-6.252717,11
104,EMMET ROAD,53.340714,-6.308191,13
105,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,27
106,LEINSTER STREET SOUTH,53.34218,-6.254485,17
107,BLACKHALL PLACE,53.3488,-6.281637,23
108,CLARENDON ROW,53.340927,-6.262501,15
109,JAMES STREET EAST,53.336597,-6.248109,11
110,PARNELL SQUARE NORTH,53.3537415547453,-6.26530144781526,2
111,FOWNES STREET UPPER,53.344603,-6.263371,10
112,SMITHFIELD,53.347692,-6.278214,26
113,FRANCIS STREET,53.342081,-6.275233,7
